pid,label,performer,date_uploaded,embed_url,length,uploaded_by,video_title,video_notes,narrative,rights,location,related_docs,personal_notes
vid0034,Performance by René Marie,René Marie,"July 3, 2008",www.youtube.com/embed/gQtse2B4Khk,4:06,Opio Sokoni,Rene Marie's Lift Every Voice,"At the start of the event, City Council President Michael Hancock introduced singer Rene Marie to perform the national anthem. Instead, she performed the song “Lift Ev’ry Voice and Sing” to the tune of “The Star-Spangled Banner.”","A news report of Rene Marie's controversial performance of “Lift Every Voice and Sing”/“The Star-Spangled Banner.” One commentator is male, the other, female. The male news reporter describes the audience's response to Rene Marie's performance as “tepid applause.” The video features an image of the song sheet, onto which various images of Marie's performance, the singer's album covers, and images from the Civil Rights Movement and U.S. history (images of Klan members in robes, for example) are projected. It also features photos of Marcus Garvey in UNIA regalia, a photo of Malcolm X and Muhammad Ali (Malcolm X's three daughters are pictured, with the youngest sitting on Ali's lap). The video ends with an image of Barack Obama, superimposed on the Pan African Flag, segueing into an image of Johnson, with the lyrics of “Lift Every Voice and Sing.”","Music: Rene Marie, Motema Music; News report: n/a",n/a,,
vid0035,Performance by Jessika Banzouzi,Jessika Banzouzi,"October 9, 2011",www.youtube.com/embed/-ncY6K8KogQ,4:11,AFROTAK TV cybernomads,Völkermord Germany Namibia Kolonien,"Völkermord Namibia Deutschland Decolonial Kolonien Afrika Diaspora Rassismus Media Herero Völkermord Namibia Berlin Deutschland Africa Memorial JESSICA BANZOUZI sings for Namibian Völkermord Genocide Victims AfricAvenir Afrika Medien AfroPean OVAHERERO OVAMBANDERU COUNCIL OCD 1904 AFROTAK TV cyberNomads Afrika Black German Culture AfricAvenir AFROPEAN Media Education Archives Africa Germany Genocide German Southwest Africa (Namibia) Black National Anthem - James Weldon Johnson During the House of the Cultures of the World Panel-Event organized by black and white German NGOs to welcome the Namibian Delegation. A group of over 60 people travelled to Germany in order to bring home the Human Remains of their Ancestors who were murdered among 40-80 000 other Herreros and Namas by white Germans in colonial genocide ( Völkermord ). The AFROTAK TV cyberNomads Artist and afro-german JESSIKA BANZOUZI performed LIFT EVERY VOICE. The spiritual Song by the african-american author James Weldon Johnson is also known as the BLACK NATIONAL ANTHEM and was also sung for the inauguration of president Obama. LIFT EVERY VOICE Lift every voice and sing, till earth and Heaven ring, Ring with the harmonies of liberty; Let our rejoicing rise, high as the listening skies, Let it resound loud as the rolling sea. Sing a song full of the faith that the dark past has taught us, Sing a song full of the hope that the present has brought us; Facing the rising sun of our new day begun, Let us march on till victory is won. God of our weary years, God of our silent tears, Thou Who hast brought us thus far on the way; Thou Who hast by Thy might, led us into the light, Keep us forever in the path, we pray. Lest our feet stray from the places, our God, where we met Thee. Lest our hearts, drunk with the wine of the world, we forget Thee. Shadowed beneath Thy hand, may we forever stand, True to our God, true to our native land. *Black National Anthem; Written by: James Weldon Johnson Völkermord “Namibia Deutschland” Afrika Diaspora “Memorial JESSICA BANZOUZI” “Namibia Genocide” Victims AFROTAK TV cyberNomads “Black German” Black Culture Media Education Archives Africa Germany “Human Remains” Ancestors Herrero Nama colonial James Weldon Johnson afro deutsch Charite Berlin “Black Berlin” Genocide Germany postkolonial","Afro-German singer Jessika Banzouzi performs the “Black National Anthem” in Berlin at the Homegoing ceremony for the Herero people, victims of the first genocide of the twentieth century, carried out by Germany in Namibia. Banzouzi performs the first and third verses only. The video was created by AFROTAK cyberNomads, founded by Adetoun Kuppers Adebisi.",AFROTAK cyberNomads,"Berlin, Germany",,
vid0036,Performance by Larry Watson,Larry Watson,"November 2, 2009",www.youtube.com/embed/Y7Rv68tjw58,5:18,Lawrence Watson,Lawrence “Larry” Watson ,"This arrangement was created by Lawrence Watson and produced by Miklos Malek. It was first inspired by a late night at “Turner's Fisheries” a cabaret that once existed in the Westin Hotel in Boston. That Night Larry Watson, Billy Kilson, Vince Evans and Archie Kubota were improvising and Larry Watson started to sing this Anthem. Watson has sung the song all over the world. He associates this arrangement with the release of Nelson Mandela from 27 years of incarceration. Recently Larry Watson provided the entertainment for the kick off fundraiser for Governor Patrick’s re election. President Obama was the key note speaker and Watson got to shake his hand. Two history makers in the room at the same time. “Let us March on Till Victory is won.”","The video begins with an image of the Shepard Fairey's iconic poster from the 2008 presidential campaign. It then segues into images of a black family and another of black children seemingly caught in mid-song. Images range from iconic black leaders and celebrities (Du Bois, Aretha Franklin--and her hat, MLK, Michael Jackson), black college graduates in regalia, images from the Civil Rights movement, and more. The images flash by quickly, seemingly in an attempt to capture the scope of the Black experience from life on the continent to slavery to the White House. The video concludes with in amage of the Obama family posed in front of a U.S. presidential seal. The video appears to have been created and uploaded by Watson in observation of Black Music Month. He performs all three verses.",Lawrence Watson,n/a,,
vid0037,Performance by René Marie,René Marie,"February 5, 2010",www.youtube.com/embed/cy_R0O9DxEY,2:41,Minister Faust,Rene Marie (flv),"Rene Marie performs live mash-up of “Lift Every Voice and Sing” with American national anthem. Stirring, ironic, powerful. What a magnificent performance. Please share.",Rene Marie performs “Lift Every Voice and Sing” in Denver. She performs the first verse only.,n/a,"Denver, CO",,
vid0038,Performance by Jasmine Villegas,Jasmine Villegas,"June 5, 2009",www.youtube.com/embed/4yo4ilBkgU4,1:19,Jasmine Villegas,Jasmine Villegas,jasmine villegas sings lift every voice,"Jasmine performs the song in front of a wall on which hangs a framed image. She appears to be in a home environment. Comments on the video critique her performance; some seem to take pains to be critical but kind  (for example, user harmony burrell posted 6 years ago: “good but skipped words and u shouldnt turn it into like pop just sing it how it should be but faster bravo good tone”); others indicate a familiarity with the performer's voice and growth as a singer. She performes the first verse only. ",n/a,n/a,,
vid0039,Performance by Essence Allen,Essence Allen,"Jan 9, 2011",www.youtube.com/embed/rYJmuHcJPPs,2:04,Essence Allen,Essence (BSR Stepshow at EIU),I am an auditioning contestant for the tv show “the voice.” I Opened up for the Black STudent Reunion Stepshow at my school Eastern Illinois University. Please follow me on twitter.com/essentiallyfine. I added a little twist to the Black National Anthem really wanted ppl to feel every word. Please leave comments and subscribe. Thank you to all my subscribers for support!!!!,"Allen is alone onstage, performing in a noisy venue, a step show. Camera phone video records audience talking. There is constant chatter, but a resounding cheer as she hits the final note of the first verse.She performs only the first verse.",Essence Allen,n/a,,
vid0040,Performance by 2ND Nature,2ND Nature,"May 1, 2008",https://www.youtube.com/embed/-sMw-TqMQlA,5:40,Gregory A. Tucker,2ND Nature,"R&B group of the 90's with big hit lift every voice visits, Dayton, Ohio for a promotion tour.  interviewed by the top rated urban cable show Hometown Showcase.","Four-part harmony. Live, acapella performance. They sing only the first verse, following an interview with a radio host. ",Hometown Showcase,"Dayton, Ohio",,
vid0041,Performance by Spirit and Truth,Spirit and Truth,"February 15, 2011",www.youtube.com/embed/P8pwYGXzHnQ,2:06,sntgospel,S&T singing,"Spirit & Truth singing the Black National Anthem @ West Fresno Christian Center February 13th, 2011. This was also the last performance with long time member Bianca Levine. :(",Four-part harmony blending male and female voices. They sing only the first verse. A small audience applauds.,Spirit and Truth,n/a,,
vid0042,Performance by Harmonyx,Harmonyx,"August 22, 2012",www.youtube.com/embed/_tL-_ouucE4,3:16,OFFICIALHarmonyx,Lift Every Voice - Harmonyx,"Harmonyx performs at Harmonyx A Capella workshop on August 22, 2012","This performance adds a “preamble” to the song: “We will not bow down to/ racism. / We will not bown down to / injustice,” performed in a call and-response style (soloist and group). The young performers then physically rearrange themselves, harmonizing to the tune of “Lift Every Voice and Sing” before singing the song. They perform only the first verse, with this arrangement and stylization.",Harmonyx,n/a,,
vid0043,Performance by Blue Ivy Carter,Blue Ivy Carter,"November 17, 2019",https://www.youtube.com/embed/w0Iz952mp28,1:01:00 AM,Furkan Aydin,Blue ivy singing,"Blue ivy singing. 

Song: Lift Ev'ry Voice and Sing (Blue's Version - Homecoming Live)
Artist
Beyoncé
Licensed to YouTube by
SME (on behalf of Columbia); LatinAutor, LatinAutor - PeerMusic, UNIAO BRASILEIRA DE EDITORAS DE MUSICA - UBEM, and 1 Music Rights Societies

","This video performance has disappeared (video has been removed). Blue Ivy sings part of the first verse with help from mom, Beyoncé.",Beyoncé,n/a,,
vid0044,Performance by Carissa May,Carissa May,"April 15, 2007",www.youtube.com/embed/HR128TuCGkU,1:21,Piethang,Carissa Singing ,I meant to post this in February for Black History Month...better late ,"Performance by a young, black woman. The video appears to have been recorded in a bedroom or dorm room (purses hang from the wall and a closed closet is visible in the background). She sings only the first verse.",Carissa,n/a,,
vid0045,Performance by Alexandra Williams,Alexandra Williams,"March 11, 2008",https://www.youtube.com/embed/5Xrrral-m8g,2:51,Alexandra Wiliams,Adub,Me singing the Black National Anthem. Amazing song. Hope you like =),"Williams sings the first verse of the song. Comments indicate support and praise for the performance, with one noting that the singer ""missed the bridge,"" but still sounded good. ",Alexandra Williams,n/a,,
vid0046,Performance by the Stanford Talisman,Stanford Talisman,"December 9, 2009",https://www.youtube.com/embed/Td1dF_MzqG4,7:49,Stanford Talisman, Stanford Talisman,Stanford Talisman winter show 2009. Our version is available on our 2001 album “Passage”,"The performance begins with opening remarks by one group member, a young black woman. She explains the origins of the song and explains its significance to African Americans; she also notes that the song applies to “all of us” in that it “moves us to remember and reconcile with a history of inequality in our country.” This is an a cappella performance and all three verses are sung. The second verse is performed up tempo. ",Stanford Talisman,n/a,,
vid0047,Performance by Acapella,Acapella,"August 8, 2006",https://www.youtube.com/embed/F0XJPUA5xdI,4:12,Flávio Forte,Acapella,Acapella - Lift Every Voice. Video notes:   esse tb é lindo...,"A Christian a cappella group. The video features members singing, with various images fading in and out in the background. Images include Dr. Martin Luther King, Jr. and images of the March on Washington, among others. The video concludes with the singing of “Let freedom ring...” They sing only the first verse.",n/a,n/a,,
vid0048,Performance by Ray Charles,Ray Charles,"February 13, 2009",https://www.youtube.com/embed/QU8921j20e8,3:19,cavettbiter,"Ray Charles, Sept. 1972","LIFT EVERY VOICE AND SING by Ray Charles. Sept. 18, 1972. Raelettes: Vernita Moss, Susaye Green, Mable John, Dorothy B Yarborough","Ray Charles and the Raelettes performing on the Dick Cavett show in 1972. The song is performed in a call and response form. The five members of The Raelettes are arranged around the piano, dressed in loose, pastel-colored chiffon gowns (yellow, blue, green lavender) that seem reminiscent of choir robes. The performance is uptempo.Charles (like Jessika Banzouzi) sings only the first and third verses. Charles ends with “Amen to that.”",n/a,"New York, NY",,
vid0049,Performance by Kim Weston,Kim Weston,"March 9, 2013",https://www.youtube.com/embed/It_NO1dlj8U,4:30,Anthony Elmore,Black National Anthem,This is Kim Weston signing the Black National Anthem at Watts Stax in 1973. For those who do not know Kim Weston was a Motown Artist who did a duet with Singer Marvin Gaye.,"This video is a mashup, which features Kim Weston being introduced by Jessie Jackson at the Wattstax in 1972. Features shots of the crowd, followed by images that attempt to chronicle the experiences of Black Americans from slavery to the contemporary. At 2:31, the video cuts from Weston's singing to a clip of King's “Mountaintop” speech (through 3:44). Sonically, the video then segues into a performance of “Somebody Bigger Than You & I” (performer is Jimmy Jones, however, multiple versions were recorded by Elvis Presley, Whitney Houston, Mahalia Jackson, and numerous others). Only the first verse of “Lift Every Voice” is sung. ",n/a,"Los Angeles, CA",,
vid0050,Performance by the Aeolians of Oakwood University,Aeolians of Oakwood University,"May 8, 2011",https://www.youtube.com/embed/PcW_PXgc7y0,5:16,murahomesa,THe Aeolians,n/a,"Recorded at Oakwood University Church, this is an uptempo version of the song. This is an arrangement, which begins with the singng of “Lift Every Voice and Sing,” repeated as a preamble to the full verse. The group performs all three verses. This may be a Roland Carter arrangement. ",Oakwood University,"Huntsville, AL",,
vid0051,Artist Unknown,Artist Unknown,"January 25, 2011",https://www.youtube.com/embed/t7O_x0y8_Is,3:40,secularstupidest,Lift Every Voice,"All Three Verses. Beautiful America. “Lift Every Voice and Sin” — is a song written as a poem by James Weldon Johnson (1871--1938) and set to music by his brother John Rosamond Johnson (1873--1954) in 1900. “Lift Every Voice and Sing” was publicly performed first as a poem as part of a celebration of Lincoln's Birthday on February 12, 1900 by 500 school children at the segregated Stanton School. Its principal, James Weldon Johnson, wrote the words to introduce its honored guest Booker T. Washington.","Performer is not credited in video. The voice is of a male soloist with a backing chorus, singing softly. The video is a mashup that features images from nature and U.S. historical sites. Primiarily natures scenes. All three verses are performed. ",n/a,n/a,,
vid0052,Performance by Former Congresswoman Barbara Jordan with the Royal Philharmonic Orchestra of London,Former Congresswoman Barbara Jordan with the Royal Philharmonic Orchestra of Londo,"Jan 25, 2010",https://www.youtube.com/embed/oKfANXGJC_I,3:50,gospellin,Barbara Jordan,"Former Congresswoman Barbara Jordan with the Royal Philharmonic Orchestra of London

Song
Lift Every Voice and Sing (Remastered)
Artist
Paul Freeman
Licensed to YouTube by
SME (on behalf of Sony Classical)","From the 1979 album, Symphonic Spirituals, Columbia; conducted by Dr. Paul Freeman, narrated by Barbara Jordan, soloist William Brown, tenor (information from Album cover). Jordan includes a preamble to the dramatic recitation of the song, in which she intones, “These are our songs of joy and sadness. They were given life by slaves who toiled in the fields of America. Sweat on their brows, hope in their hearts.These are our songs of happiness and sorrow. The sould of blackfolk, coupled with religious fervor and vigorous rhythms that hint of their African heritage. These are our songs of hope.” The video features various still images of Jordan. She performs the first and second verses, and changes some of the words and adds her own “prayer” to the performance.  ",Royal Philharmonic Orchestra of London,n/a,,
vid0053,Performance by Mass Choir,Mass Choir,"April 20, 2010",https://www.youtube.com/embed/QjZFi8VBdOA,7:01,WDSU-TV,Mass Choir performs at DSU,"Mass Choir performs Negro National Anthem at DSU. www.desu.edu: The mass choir, including choirs from Bowie State University, Cheyney State University, Lincoln University (PA), UMES and Delaware State University perform the “Negro National Anthem - Lift Every Voice and Sing” as arranged by Roland M. Carter.

DSU on Facebook: www.facebook.com/DSUedu
DSU on Twitter: www.twitter.com/DelStateUniv

DSU is one of America's most prestigious Historically Black Colleges and Universities (HBCUs). Founded in 1891 at the State College for Colored Students, DSU takes pride in its heritage as one of the country's first land-grant educational institutions, rooted early on in agriculture and education. Our current undergraduate population includes a 68 percent African-American enrollment and an increasing number of Caucasian, Hispanic, Asian and other international students.

Today DSU offers 54 undergraduate degree programs, in fields ranging from education, healthcare, optics and aviation. It offers 24 masters' degrees including graduate programs in molecular and cellular neuroscience and teaching English as a second language. We offer five doctoral degree programs in areas such as interdisciplinary applied mathematics/mathematical physics and educational leadership. DSU has190 faculty members within 21 academic departments. 174 faculty members possess a PhD or a terminal degree. The student-to-faculty ratio is 13:1.

Delaware State University is ranked 17th among 80 Historically Black Universities and Colleges in the country by U.S. News & World Report.

Delaware State University was named by G.I. Jobs magazine as a Military Friendly School for 2011! This honor ranks the University in the top 15 percent of all colleges, universities and trade schools nationwide.

Currently, there are 17 NCAA Division I sports at DSU. Varsity teams compete in baseball, men's and women's basketball, women's bowling, football, cross country, indoor and outdoor track and field, tennis, volleyball, softball, equestrian and soccer. In addition, our cheerleaders are the pep and step at campus sporting events, fundraisers and pep rallies and are role models for campus spirit. 

The Hornet football team ranked first in the MEAC division in 2007 with an undefeated conference record of 8--0. In 2007--08 the Hornets football and softball teams won MEAC Championship titles. The Lady Hornet basketball team won the 2007 MEAC Tournament and made its first appearance in the NCAA Tournament. The DSU bowling team has won back-to-back MEAC championships and competed in the NCAA championship tournament in each of the last two years. 

DSU is home to the nationally renowned Approaching Storm Marching Band.","Video appears to have been shot with a shaky camera or camera phone. At the opening sound of hte music, the audience begins to rise and an audience member utters, “Oh Lord.” All three verses are performed. The third verse is performed much slower and quietly than the previous verses, as in the form of a prayer.However, at “lest our feet...” it once again picks up both in tempo and volume. And the performance ends with “amen.”",Mass Choir,n/a,,
vid0054,Performance by Howard University Gospel Choir,Howard Gospel Choir,"February 10, 2010",https://www.youtube.com/embed/uk3zXi8WVqk,4:36,Howardgospelchoir,Howard Gospel Choir,"Video Title: Howard Gospel Choir - “Lift Every Voice and Sing.” The Howard Gospel Choir of Howard University sings “Lift Every Voice and Sing” (The Black National Anthem) at Jerusalemskirken (Church of Jerusalem) in Copenhagen, Denmark [Europe] as a part of our Northern Scandinavian Tour in February 2010.","Howard University Gospel Choir performing in Copenhagen, Denmark  in front of a predominantly white audience. Some members of the audience can be see swaying to the music. The choir sings all three verses. ",Howard University Gospel Choir,"Copenhagen, Denmark",,
vid0055,Performance by Kyle,Kyle,"August  17, 2009",https://www.youtube.com/embed/7i4Beq20O3g,4:16,Kyle,"Kyle, Lift Every Voice and Sing","I sing this beautiful song to midi piano accompaniment. Enjoy, pass it on and be blessed.","Kyle, who is blind, performs alone in what appears to be a home space (living room?). The video shows him from the shoulders up; he is wearing a blue shirt with collars. He performs all three verses.",Kyle,n/a,,
vid0056,Performance by Al Green and Deniece Williams,"Al Green, Deniece Williams, Patti Austin, Melba Moore, Robeta Flack, Deborah McDuffie","February 13, 2010",https://www.youtube.com/embed/cwWhu8tw4nU,10:25,Deb McD,Al Green & Deniece Wiliams,"Video Title: Lift Every Voice and Sing - Al Green & Deniece Wiliams. In 1985 Miller High Life asked me  to come up with a ""meaningful"" project for Black History Month. I  decided to arrange and record a celebratory contemporary version of ""Lift Every Voice and Sing"". I called good friends Al Green and Deniece Williams who agreed to sing the duet, backed by Patti Austin, Roberta Flack, Melba Moore and myself. 
The band consisted of the studio musicians who made up John Belushi and Dan Ackroyd's Blues Brothers Band, along with other notable musicians, including the late great Yogi Horton and jazz legend Jon Faddis. One of my favorite arrangers, Leon Pendarvis penned the charts and was Musical Director. Husband and wife actors Ossie Davis and Ruby Dee provided the voice-over narration for the commercials. 
Recorded in New York at Clinton Studios, it started out as a jingle but ended up a full length recording. 

This is the actual video from the recording session. Al was 8 hours late as usual, which is why it's dark when he's arriving. It's a fun-filled sneak peek inside what goes on (or used to go on) in the recording studio. Enjoy!

Check out more jingles and celebrity photos on my Facebook ""Deborah McDuffie"" musician page. 

http://www.facebook.com/l.php?u=http%...","This video, more than 10 minutes long, documents the making of the song at the Clinton Recording Studio. Commentary (see Notes) was provided by Deborah McDuffie, credited with being the first female composer/producer in the advertising industry (Mingo-Jones). Video commentary is provide by Ruby Dee and Ossie Davis. The singers record the first verse (in this clip). ",n/a,"New York, NY",,
vid0057,Performance by PianoManT,PianoManT,"January 16, 2012",https://www.youtube.com/embed/g19Q6i_e7tA,4:53,PianoManT,Lift Every Voice and Sing,"This is one of my favorite hymns, originally written in 1900 in honor of Booker T. Washington by James Weldon Johnson, the principal of a segregated school, and set to music by his brother John Rosamond Johnson. It has since come to be known as the U.S. Civil Rights Anthem or the African-American National Anthem. I upload it today in remembrance of what would have been The Rev. Dr. Martin Luther King, Jr.’s 83rd birthday.

This is a recording that I made about four years ago. The sound quality isn't the best and I mispronounced the word “chastening,” but I hope you will enjoy it anyway.

Dr. King, it is so sad that you were taken from us at the young age of 39, but your legacy lives on. May we be less quick to turn to violence as an instrument of social change. May we continue to teach our eyes to look past the outward appearance and discern the content of one's character. May your dream become a reality.","Recorded by PianoManT, this video features a blue screen over which the lyrics and subtitles appear. The video calls “Lift Every Voice and Sing” the “U.S. Civil Rights Anthem,” contextualizing it for a particular historial moment. An opening screen features the name of Martin Luther King, Jr., his biographical dates, and the note, “May we never forget.” It appears to be sung over a track with backing vocals that echo the main line. The singer's voice also appears to have been digitally altered. All three verses are sung. ",PianoManT,n/a,,
vid0058,Performance by Melba Moore,Melba Moore,"May 28, 2010",https://www.youtube.com/embed/wp3akp5Yv70,5:52,HisayukiIsshiki,Melba Moore ,"Melba Moore - “Lift Every Voice and Sing” From the album “Soul Exposed” in 1990.
Featuring Dionne Warwick, Stevie Wonder, The Clark Sisters, Freddie Jackson, Anita Baker, Bobby Brown, Howard Hewett, Take 6, Stephanie Mills, BeBe & CeCe Winans and Jeffrey Osborne. (order of singing)","Video features the cover of Moore's 1990 album, Soul Exposed, from which the song (it is the fifth track on the album) is taken. This version begins with Moore noting that she loves singing the song, but that she did not want to sing it alone anymore, so she invited a few friends to do so with her. “Let freedom ring” echoes throughout the song. She is accompanied first, by piano, but as the song advances, she is joined by other voices and instruments, building the song from a solo speaking voice to a group of voices and instruments. Various artists take turn in a call-and response style (“sing a song”).Only the first verse is performed. ",Melba Moore/Capitol Records,n/a,,
vid0059,Performance by RESOUND,RESOUND,"March 21, 2015",https://www.youtube.com/embed/04zXuOxx_YM,3:08,Kareem Flowers,RESOUND,"“Lift Every Voice” (The Black National Anthem)”. (Lyrics)

FOR PROMOTIONAL USE ONLY...I DO NOT OWN ANY RIGHTS TO THIS SONG

Lyrics:

Lift ev'ry voice and sing,
Till earth and heaven ring.
Ring with the harmonies of Liberty;
Let our rejoicing rise,
High as the list'ning skies,
Let it resound loud as the rolling sea.
Sing a song full of the faith that the dark past has taught us,
Sing a song full of the hope that the present has brought us;
Facing the rising sun of our new day begun,
Let us march on 
ooo on (We got keep marching yea)
oh on (Until we find our victory)
oh on (Yeah)
oh on

(I know you've been hurting)
oh on (And I know you've been struggling)
oh on (But you got hold on)
oh on (Keep on marching on)

(I know you've been waiting)
oh on (And you've been pressing on)
oh on (But you've gotta keep moving)
oh on (Yes, keep on moving)
oh on

Let us march on (Amazing grace)
Let us march on (How sweet the sound)
Let us march on (That saved)
Let us march on (A wretch like me yeah)

Let us march on (I once was lost)
Let us march on (But now I'm found)
Let us march on (I once was blind)
Let us march on (But now I see)

Let us march on
Till victory is won.
(March on, march on)","This video features a dark grey background with RESOUND printed in light grey. The three members of the group (two female, one male) perform only the first verse before they segue into their own text, which repeats “let us march on,” as other performances have also done. ",RESOUND,n/a,,
vid0060,Performance by Raheem DeVaughn,"Raheem DeVaughn.  PJ Morgan on organ, Ray Chew Orchestra","March 2, 2009",https://www.youtube.com/embed/bQcc5eoU0CU,7:56,DMunb3,Raheem DeVaughn Medley,“Lift Every Voice and Sing” by Raheem DeVaughn with PJ Morgan on organ with Ray Chew Orchestra and Stevie Wonder medley tribute to Alicia Keys,Raheem DeVaughn performs in front of a live audience at the BET Awards. He changes some of the words and sings only the first verse before the video transitions to the Stevie Wonder medley. Members of the audiences stand and some can be seen singing (or mouthing the words). ,BET,n/a,,
vid0061,Performance by Jamela Bullock,Jamela Bullock,"January 4, 2010",https://www.youtube.com/embed/Va1Lkz7uCrE,6:58,"Jamela Bullock, Freedom Classic","Jamela Bullock, January 18th 2009","Jamela Bullock sings Both National Anthems at Freedom Classic January 18th 2009.  Jamela Bullock, Freedom Classic,","Bullock performs both “The Start-Spangled Banner” and “Lift Every Voice and Sing,” January 18, 2009, one year after Rene Marie's controversial fusing of “Lift Every Voice and Sing's” text with the music of the American National Anthem. An announcer is heard intoning, “please remain standing for ‘The Black National Anthem.’'"" One woman in the background sings along. Bullock sings only the first verse of each song. ",Jamela Bullock,NC,,
vid0062,Performance by New Hope Young Adult Choir,New Hope Young Adult Choir,"February 24, 2013",https://www.youtube.com/embed/B6j0DMR3xR4,3:56,Cecelia Horton,New Hope Sings,"In celebration of Black History Month, the congregation of New Hope Missionary Baptist Church, along with the New Hope Young Adult Choir, sings James Weldon Johnson's “Lift Every Voice and Sing” during worship service on Sunday, February 24, 2013.
","Both the choir and the congregation sing. Many hold a pamphlet with the song's text and sing from that text. This was during a Sunday church service, February 24, 2013. They sing all three verses. ",New Hope Church Young Adult Choir and congregation.,n/a (possibly North Carolina),,
vid0063,Performance by Sydney Tompkins,Sydney Tompkins,"February 26,  2008",https://www.youtube.com/embed/BLav1K6vKUo,1:30,LINKLaV,Sydney Tompkins sings,"Sydney Tompkins performs “Lift Every Voice and Sing” on LINK. Sydney was a student of Wayne Winston, director of Non-Stop Production (NSP,Inc.) in Bedford-Stuyvesant, Brooklyn. LINK, everyday dramas in the lives of African Americans, is produced by La-Verne Cody Gittens.

‘THE NEGRO NATIONAL ANTHEM’

Lift every voice and sing
Till earth and heaven ring,
Ring with the harmonies of Liberty;
Let our rejoicing rise
High as the listening skies,
Let it resound loud as the rolling sea.
Sing a song full of the faith that the dark past has taught us,
Sing a song full of the hope that the present has brought us,
Facing the rising sun of our new day begun
Let us march on till victory is won.

Stony the road we trod,
Bitter the chastening rod,
Felt in the days when hope unborn had died;
Yet with a steady beat,
Have not our weary feet
Come to the place for which our fathers sighed?
We have come over a way that with tears have been watered,
We have come, treading our path through the blood of the slaughtered,
Out from the gloomy past,
Till now we stand at last
Where the white gleam of our bright star is cast.

God of our weary years,
God of our silent tears,
Thou who has brought us thus far on the way;
Thou who has by Thy might
Led us into the light,
Keep us forever in the path, we pray.
Lest our feet stray from the places, Our God, where we met Thee;
Lest, our hearts drunk with the wine of the world, we forget Thee;
Shadowed beneath Thy hand,
May we forever stand.
True to our GOD,
True to our native land 

James Weldon Johnson June 17, 1871 - June 26, 1938
http://www.africanamericans.com/Negro...","Young, African American student sings. The video is a close-up of Tompkins singing. At times the video focuses on her eyes only. She changes some of the words to the song, for example, “sing with the harmony of victory” rather than “liberty.” Comments are generally positive and encouraging, with one or two correcting the changed words. She sings only the first verse.",LINKLaV,"Brooklyn, NY",,
vid0064,Performance by Beyoncé Lift Ev'ry Voice and Sing (Homecoming Live),Beyonce,"April 17, 2019",www.youtube.com/embed/YNZSoYVtHso,2:09,Beyoncé,Beyoncé,"""Lift Ev'ry Voice and Sing (Homecoming Live)."" Provided to YouTube by Sony Music Entertainment Lift Ev'ry Voice and Sing (Homecoming Live) · Beyoncé HOMECOMING: THE LIVE ALBUM ℗ 2019 Parkwood Entertainment LLC, under exclusive license to Columbia Records, a Division of Sony Music Entertainment Released on: 2019-04-16 Composer, Lyricist: James Weldon Johnson Director, Executive Producer, Misc. Prod., Producer: Beyoncé Knowles-Carter Misc. Prod., Producer: Derek Dixie Auto-generated by YouTube.","Beyonce performs live at Coachella. The video features the cover of the Homecoming album, with a close-up of Beyonce's head and face. She performs only a part of the first verse. The song ends with cheers from the crowd and the sonic stirrings of “Formation.”",Beyonce; Columbia Records,"Indio, CA",,
vid0065,Performance by BeBe Winans,Qu,"Jul 30, 2018",https://www.youtube.com/embed/wLuCJpokdFA,4:35,BeBe Winans - Topics,"Bebe Winans

","Lift Every Voice And Sing · Bebe Winans

America America

℗ 2012 My Destiny Productions, LLC., Marketed by Razor & Tie Recordings. Distributed by Concord Music Group, Inc.

Released on: 2012-06-19

Producer, Executive  Producer, Co- Producer: Bebe Winans
Producer, Executive  Producer: Ron Shapiro
Producer, Recording  Producer: Daniel Weatherspoon
Composer: James Weldon Johnson

Auto-generated by YouTube.","The song is taken from Winans's album, America, America. He is accompanied by a piano and background vocalist who perform sotto voce at some points. He performs the first and the third verses, with some revisions and creative recomposition. He does not sing the second verse (see Jessika Banzouzi). ","BeBe Winans; 2012 My Destiny Productions, LLC., Marketed by Razor & Tie Recordings. Distributed by Concord Music Group, Inc.",n/a,,
vid0066,Performance by Aloe Blacc,"Aloe Blacc,  featuring The String Queens at Monticello","February 3, 2019",www.youtube.com/embed/01RqzNGcacM,2:59,ESPN,Aloe Blacc feat. The String Queens,"It’s called the Black National Anthem. First penned as a poem in 1900, Lift Ev’ry Voice and Sing is the melodic cornerstone of the African-American experience—a quiet but steadfast declaration of the pain and resilience of our ancestors. In a moment in time when the very word anthem stirs debate and controversy, Lift E’vry Voice and Sing is singular and unmistakable in its message of hope. Filmed on the grounds of the Monticello, Thomas Jefferson’s former plantation, Aloe Blacc’s modern-day rendition speaks to the struggle today in the new civil rights era, with a brilliant reimagining of what the present offers and the future holds.","The song begins with a reading of the last verse of Maya Angelou's “Still I Rise.” The video, filmed at Thomas Jefferson's Monticello, begins with a close shot of Aloe Blacc, that segues into a group of five children, beautifully adorned, who emerge from a building and run across the grounds of Monticello, giggling. The String Queens, dressed in white, gently seated on a powder blue settee stationed in front of Monticello, play. A small choir, dressed in red, joins Aloe Blacc as he moves through the space--between main house and slave dwellings. Only the first verse is performed in this original arrangement. ",ESPN,"Charlottesville, VA",,
